id,name,slug,status
fc215b20-28a3-4a96-8312-6f4424504672,"Her Candane",her-candane,
73b63790-988f-4cda-a3ed-17be0995108a,"Hi-Fi Murder",hi-fi-murder,
7468a1f3-c077-43c6-9057-d4f9506f8ac5,"Hollow Hill",hollow-hill,
8fcfcaa7-01d2-4aba-a748-608f5083e65b,"Holy Water Buffalo",holy-water-buffalo,
7b33264d-bc78-4c09-8688-d1609555d6a0,"Homestyle Dinner Rolls",homestyle-dinner-rolls,
eb484b11-bfdd-41c9-a9d4-69635b2644ee,"Howl",howl,
074ec4fb-932e-4f1c-966a-0f10aaf91054,"Hudson River School",hudson-river-school,
4b2fa179-65bd-4096-8c8e-80596807747b,"Huldra",huldra,
24d38691-5afb-40cf-beb4-e5bedd025fda,"Hurtado",hurtado,
1eb25111-21a0-41f3-a7d8-df850f720083,"HXSTAGE",hxstage,
105fe759-ff3c-42ab-9474-a888a73728fa,"I AM",i-am,
ec117244-374c-4347-8f84-248ce8955217,"I Am Electric",i-am-electric,
bbf33c5e-da4a-4ee2-8987-22b7b5f935ed,"I Dont Know How But They Found Me (IDKHOW)",i-dont-know-how-but-they-found-me,
77c61bf5-04de-48d8-8e44-db9d6b1ecec9,"I Dont Know How But They Found Me (IDKHOW)",idkhow,
90ace36a-17fd-470d-9507-511d3b038e1f,"Iceburn",iceburn,
c7d1084e-d06f-4299-bae8-733009781935,"Ideal Horizon",ideal-horizon,
88d0c528-9bb8-4449-9e10-798ae0f3ac2c,"Illegal Beagle",illegal-beagle,
067f4fc2-c52a-4185-b7e0-63609d26559c,"Illicit Thoughts",illicit-thoughts,
2c210ec4-909f-48fc-872a-87332ce0e118,"IMAGE/INTENT",image-intent,
cd5fe136-14fb-4fb3-b9a9-73188aaa59ce,"Imagine Dragons",imagine-dragons,
62a345e8-16c1-4880-8339-e2974614e16f,"In the Wave",in-the-wave,
28e849cc-0613-4e90-8a11-7bbf85dc9dab,"In\\error",in-error,
251f1736-4478-4cb6-bb1a-81d3be59124a,"Incamera",incamera,
f7cb741e-d868-4d7a-8dca-8eae80bff031,"Insight",insight,
fe01c29e-25b9-4d84-951d-7b417a210871,"Invaders",invaders,active
76953e20-05a0-4e55-a983-dfc1537dedb0,"Jackass",jackass,
acc5ad83-f17f-4d8b-bf2a-ace005d5e3c0,"JAWWZZ!!",jawwzz,active
b38899ef-ecc9-4283-b06a-771d31df08bc,"Jay Warren",jay-warren,
f4ff8b16-e92d-4021-8076-47dd6f5a9b60,"Jazz Jaguars",jazz-jaguars,active
11b52cb6-be22-4782-8292-28ab1fd0bf07,"Jesus or Genome",jesus-or-genome,
bdd5db91-a9f9-40fb-beba-d8812698ae0f,"Joshua James",joshua-james,
d918de53-7591-49c6-983d-e981525781b7,"Jr. Caveman Players",jr-caveman-players,active
b29f476f-2a4d-4946-8fb9-633e7b85931d,"Juse",juse,
04937499-331c-4754-b6ec-4f75b534b7c7,"Katagory V",katagory-v,
0bc0ca60-9303-4401-8f80-f8e48923861e,"Keep Close",keep-close,
5ad30a28-20de-481a-abfc-839fa00599ab,"Kilby Court",kilby-court,active
e0bcfd62-ec76-43a4-97a0-9140351a1110,"Kill Minus Nine",kill-minus-nine,
e9e3e2a5-4712-4cc0-98f3-5ccb89640899,"Killbot",killbot,
e700cd65-b472-4394-80d8-40a4018c4b41,"King Niko",king-niko,
f9f0386a-4d97-4634-835f-0406ed9dea8b,"KNVS",knvs,active
4c09d7b5-b07c-423e-b8e4-805c18918e23,"Krooked Kings",krooked-kings,
8d478ba0-1a25-48ca-bc84-09cc05a2326c,"La Verkin",la-verkin,
8b82da06-ce58-4472-b919-83074fec7f77,"Lantern By Sea",lantern-by-sea,
761d0bbc-8edc-454e-81be-de83d1e6095a,"Lapsed & Nonnon",lapsed-nonnon,
1857f8bc-b402-473d-b856-cf239096a81a,"Lapsed & Nonnon",lapsed-and-nonnon,
ed089af2-77c6-4d6f-ab9b-33bbb69424fd,"Larusso",larusso,
f9014386-9456-4cd2-9634-2337922503ae,"Late Night Savior",late-night-savior,
6bc226a6-8f6f-404c-a0ae-b5400a4a8540,"Laughter",laughter,
aec0fb05-d1f4-4394-8f4f-24178fc39b9b,"Liar's Tongue",liar-s-tongue,
778e3aa1-fd3f-40c8-bb01-464a7fcbffc6,"Liar's Tongue",liars-tongue,
83795d0e-7d8a-4227-9bf4-80a747771c3a,"Life Over Law",life-over-law,
1c5616d9-85be-47f6-8a93-a37a8d2116a0,"Lighten Up, Francis",lighten-up-francis,
b6a29c48-3c1c-48e8-ab9a-bb6851fa2a88,"Little Moon",little-moon,active
33659f29-4faf-4617-bc3e-996e76e61df5,"Living in Fiction",living-in-fiction,
119776cd-bebe-48c7-9e75-a5fa6bdb381e,"Loafa",loafa,
371c3a97-d805-4fe6-b6f8-e3fb16f6c02b,"Local Natives",local-natives,
016c969d-18bc-42b9-ac5c-8fa7334c6af4,"Lonely Heights",lonely-heights,
3f6351e7-42ae-414d-846d-d1eb8dfebe7a,"Longarm",longarm,active
c2dac7e0-788c-4327-81fb-329fabf56ffa,"Loom",loom,
b5fc726f-4018-4564-98cb-5303dea726d4,"Loom",loom-2,
be7e0347-c2dd-45fb-b353-ede1c0d25187,"Lord Mandrake",lord-mandrake,
f5cdbdde-7cf7-4b00-a890-6cfa17f585b5,"Lord Vox",lord-vox,
21ca7042-042e-49db-b66b-2f8246afe346,"Low Profile",low-profile,
07c42fd8-fcd5-49cc-a06a-fcb1596e68ec,"Mammoth",mammoth,
00000000-0000-0000-0000-000000000001,"Manlyman",manlyman,
aa47c511-ff6a-4d09-b3db-8939779a0b5e,"Mary Mother of Bear",mary-mother-of-bear,active
ae576173-e310-4b65-ad4b-937c87735c32,"Media Queen",media-queen,
84031ad1-027c-4d8b-a563-d2eb2aac74dc,"Meg & Dia",meg-and-dia,
f495f3a1-f5b0-4fc6-b7da-70a7c75eb028,"MELO",melo,
75df66d9-d105-4b78-bf77-36503486a08c,"Mich!gan",mich-gan,active
95248e9f-542e-47cf-9a9f-1e015f92fd22,"Midnite Rollercoaster",midnite-rollercoaster,
9d7f908e-c14d-49a4-9bee-3e4cd6a4140a,"Mindy Gledhill",mindy-gledhill,
cf8c0785-feff-44f1-b1b2-0abeddcaa048,"Minerva",minerva,active
2cffffc9-4322-4991-957b-0a76ba74cd7e,"Miss Valentine",miss-valentine,
b82f4607-2ef3-4eef-be19-7e4dfc20818c,"Misty",misty,
65c8ea6c-9d32-4734-a09e-d07fe7ef5eb6,"Mock Tour",mock-tour,
8c2f3b83-a1ff-4ecb-bbcb-42407f895a2b,"Monochrome",monochrome,
e7246103-aaf4-43fb-9296-a47d86419993,"Mopsy",mopsy,
5465d9ab-e73b-4863-b259-1f1741c69442,"Mortigi Tempo",mortigi-tempo,
29353740-307c-4336-b13f-7ef261d4616f,"Motherkilljoy",motherkilljoy,active
745410f8-2b48-4fad-bc86-3725c46f9975,"Mouthbreather",mouthbreather,active
073d4211-18e1-4279-8a78-e301ab14fee6,"Mowth",mowth,
c20509fa-8248-47e6-aa7e-db73ad4a52a9,"Mr Trout",mr-trout,
1c6515bc-f546-429c-898b-9817fa08d71a,"Muscle Hawk",muscle-hawk,
d9c034a0-3ed0-4ced-869e-47db441e51ab,"Mystöry of X",mystöry-of-x,
d9fceb7e-0bf6-4aff-a546-dbb2bd9a79a0,"Mystöry of X",mystory-of-x,
a59793f4-ab33-4d8c-a0ff-00c439679d66,"NADEZHDA",nadezhda,
b74b0e85-95b2-49e2-b446-f5082344952f,"Negative Charge",negative-charge,
47fbde61-7838-48ba-a1e5-f439025f89ad,"Neighborhood Zero",neighborhood-zero,active
ede72c9a-d67e-4378-a742-1d07405f9ede,"Neon Trees",neon-trees,active
61388527-64e2-45bc-a54d-b8e370a58b23,"Night Sweats",night-sweats,active
80703958-64c2-4a81-9fe4-7a4bbf909099,"Nightbreakers",nightbreakers,
dcda5b0f-78f6-4287-83b4-d8a9fe838880,"No Delay",no-delay,
40fba31f-5178-435e-b2dd-f30c3ff9a010,"No Jure",no-jure,
9e29d89b-351c-4035-a2d4-63e0311dc890,"No Release",no-release,
4c63fe94-bc5b-4822-882e-3d8fb49de676,"No Such Animal",no-such-animal,
e8131e3a-1371-4c49-a92f-646f798b66d1,"Noble Bodies",noble-bodies,
e9430206-c0b8-46e3-b71b-92909c0f0874,"NVM",nvm,
023fe84a-a034-4ba8-92ea-053003acbcfd,"Old Man Johnson",old-man-johnson,
a4c7cf83-e398-4a09-9b6a-c7aa498983d1,"Old Timer",old-timer,active
ee041519-4467-416c-82bc-94c9fd039fff,"Onan Spurtz OMB",onan-spurtz-omb,active
0bfa7856-50fa-43d4-9e5d-6448a388b5cc,"Open Door Policy",open-door-policy,
59a5bc7b-fff5-4fa3-9cc1-e5d01dac9842,"Optimus Prime",optimus-prime,active
0e454dea-0b2b-4586-a851-85df4832cde0,"Optimus Prime/Blue Sparks",optimus-prime-blue-sparks,active
b163b809-e80e-4250-a9ad-f180afef7812,"OrcaMind",orcamind,
296e34da-7b26-4e62-9e38-22359df51db8,"Orpheum",orpheum,
4565237c-7ec0-4727-b9cc-349209cae9e6,"Over Under",over-under,
f6b4511b-e6be-4d36-954e-2fcdb45b7eb5,"Oxcross",oxcross,active
e063d699-da4b-49c4-ad2d-1025fb51a334,"Oxford Grey",oxford-grey,
cc64a5f2-b3ad-403e-975c-efe240b15116,"Panic! at the Disco",panic-at-the-disco,active
b412ece8-6113-4d4a-89ed-608e89b8c33a,"Parade the Bug",parade-the-bug,
15cf5951-d1a1-4723-a0c2-fb4badb2a507,"Penrose",penrose,
b2eebd9a-d479-4041-a2d8-9a6ce5e9fab3,"Perfectly Flawed",perfectly-flawed,active
3319660f-2b00-4835-b7c9-d2439b2e8705,"Peter Breinholt",peter-breinholt,
dd775fdd-c911-4168-a4bc-40da45110113,"Pinguin Mofex",pinguin-mofex,
c88ee2ab-bf38-4a85-94c1-9d9e52ab41da,"Pirates of the Promised Land",pirates-of-the-promised-land,
8fcf053e-c389-4d95-9f05-1b4e0829c7e0,"Pixie and the Party Grass Boys",pixie-and-the-party-grass-boys,active
033032e6-3a4b-40a1-ab69-de9ee9f460d5,"Plastic Cherries",plastic-cherries,active
184221cc-8b99-41d9-9e57-fe21fbe50d5d,"Pleasure Thieves",pleasure-thieves,active
ab9a21df-cae3-44dd-a7e4-59df18125f2f,"Poet Bones",poet-bones,
5525ea9e-c5cd-4528-a1fd-d833d504f3af,"Poolhouse",poolhouse,
c71af230-c951-4b06-8752-39d5915548ca,"Preacher & the Parasites",preacher-and-the-parasites,
92d47328-d0d9-4a6b-8a12-c83eb7137b39,"Problem Daughter",problem-daughter,
41fa9ae7-5c6b-4ad8-94e8-d83374428904,"Protohorus Vex",protohorus-vex,active
f140452f-8eae-4b35-a30a-2c22106616e7,"Puddle Mountain Ramblers",puddle-mountain-ramblers,
e35eda1b-9d4b-4523-a562-775fd1a36bcf,"Puri-Do",puri-do,active
0b84a3b9-03d5-4d84-af24-d49aeebc9712,"Queenadilla",queenadilla,
f31da5d8-1879-436f-8dfb-5d5a44ee0a0b,"Quinn Allman",quinn-allman,
c590b84b-b9d9-49c3-8f78-af389ab81a04,"Racist Kramer",racist-kramer,
41e0bf18-bb92-48a0-80d9-837670731e18,"Raspberry Protocol",raspberry-protocol,
e2a78813-076d-411b-b1d7-d20dccbab180,"Rated Hero",rated-hero,
330dd6fb-165f-47c0-b535-0831f792c102,"Recently Decent",recently-decent,
21b87ec6-675d-4f9f-b5bd-9bf2f72d4210,"Red Bennies",red-bennies,
8ab31d13-15ec-4bc0-a944-b64e62a1287d,"Red Coats",red-coats,active
95a9a01e-4724-4af7-b459-3b85f9ca9f1a,"Red Pete",red-pete,active
87804778-0f79-4da6-a96b-8d06208c8eaf,"Redd Tape",redd-tape,active
2b5edb66-80f7-49a3-8ef3-3bb607ce3e03,"Rejected Takeoff",rejected-takeoff,
b5f071b1-0115-4bfc-943d-e934c643cbcf,"RIFF TKR",riff-tkr,
ae3d5e11-56e4-4656-9515-14570406535b,"Rile",rile,
2067249a-26d3-486d-b5fb-e893b3b9a3c4,"Ritt Momney",ritt-momney,
804e78ae-48d5-41f8-8951-235692fc8583,"Rodeo Boys",rodeo-boys,
d3830216-b469-49c7-80dd-b51b3dbd7d50,"Roseburg",roseburg,
9d66fe40-2f36-4518-ace8-aa76f1eb51e4,"Royal Bliss",royal-bliss,
5880a3cc-3be3-4bea-8b2c-7708d25cafce,"Runaway Fighter",runaway-fighter,
